prompt,prompt_length,token_rarity,num_objects,abstractness,attribute_density,spatial_relations,action_verbs,named_entities
a white handkerchief with embroidered star on it,8,2,2,2,2,2,1,0
the sail is white,4,0,1,2,1,0,0,0
a red ball sits in the grass on a green field,11,0,3,3,2,2,1,0
a large metal structure,4,0,0,1,1,0,0,0
a small animal with big eyes sitting on the ground,10,0,2,3,2,2,1,0
a wooden box with a japanese writing on it,9,0,2,3,2,2,0,0
a red and white sea urchin on the ocean floor,10,1,1,3,2,1,0,0
a monkey with its mouth open in a tree,9,0,2,4,1,2,0,0
a large elephant walking,4,0,1,1,1,0,1,0
a woman wearing a vest,5,1,1,2,0,0,1,0
a plant with green leaves,5,0,1,2,1,1,0,0
a black monkey sitting on a tree branch,8,0,1,2,1,1,1,0
a white plate with a lobster on it,8,1,2,3,1,2,0,0
a large metal structure on top of a building,9,0,2,3,1,2,0,0
a cheetah rolling on its back in the dirt,9,1,3,3,0,2,1,0
a cheetah laying down,4,1,0,1,0,1,1,0
a white printer,3,1,0,1,1,0,0,0
a brown cow with a cart on a dirt road,10,1,2,4,1,2,0,0
a polar bear sitting in a tire,7,1,1,2,1,1,1,0
a man in a helmet,5,0,1,2,0,1,0,0
a monkey in a cage with a sign that says monkey warrior,12,0,4,5,0,2,1,0
a large jug of jack daniels whiskey sits on a table,11,3,3,3,1,1,1,1
a cat laying on a couch,6,0,1,2,0,1,1,0
a brass metal frame with decorative designs,7,1,1,2,1,1,0,0
a monkey is standing on a branch in a cage,10,0,3,4,0,2,1,0
a large building with a flag pole,7,0,1,3,1,1,0,0
a large tree with many leaves,6,0,1,3,2,1,0,0
a woman standing next to a table of meat,9,0,2,4,0,2,1,0
a sea urchin and a rock,6,1,0,3,0,0,0,0
a person holding a green apple in front of a cat,11,0,3,4,1,2,1,0
a woman in a fur coat and gloves posing for a picture,12,1,2,5,0,1,2,0
a solar powered device that is sitting on the ground,10,0,2,4,2,1,1,0
a monkey eating a green fruit in a tree,9,0,2,3,1,1,1,0
a person cutting a roll of toilet paper,8,0,2,3,0,0,1,0
a humpback whale swimming in the ocean with a small fish,11,2,2,4,1,2,0,0
a small brown weasel is standing on a rock,9,1,2,3,2,1,1,0
a joystick on top of a white surface,8,1,2,3,1,2,0,0
a small red lizard on the ground near moss,9,2,2,2,2,2,0,0
a wolf is standing in the woods,7,0,2,3,0,1,1,1
a chimpanzee sitting on a mound of dirt in the forest,11,2,3,4,0,2,1,0
three mushrooms are sitting on the ground,7,1,2,2,0,1,1,0
a lemur sitting in a small window,7,1,1,2,2,1,0,0
a green army truck,4,0,0,1,1,0,0,0
a black and yellow salamander on the ground,8,1,1,3,2,1,0,0
a boat is sailing on the water,7,1,2,3,0,1,1,0
a coyote is pictured in this undated handout photo courtesy of the national park service,15,4,2,9,2,1,1,0
a wild dog standing in the grass,7,0,1,3,1,1,1,0
a shark is on display in a glass case,9,0,3,3,0,2,0,0
a close up of a bicycle's front brake,9,2,1,3,1,1,0,0
a set of four black dumbbells with different sizes,9,1,2,4,2,1,0,0
a dog standing on top of a grassy field,9,1,2,3,1,2,1,0
a person wearing a knee brace with a black strap,10,2,2,4,1,1,1,0
a green combine harvester in a field,7,1,1,2,1,1,0,0
a large rock in the grass,6,0,1,2,1,1,0,0
a set of four mittens sitting on a wooden step,10,1,2,3,1,1,1,0
a close up of a computer monitor showing a waveform,10,1,2,4,0,1,1,0
a brake assembly with a brake disc and brake pads,10,4,1,4,0,1,0,0
a view of a mountain range,6,0,1,3,0,0,0,0
a group of people standing in a field,8,0,2,3,0,1,1,0
a monkey is eating a toothbrush,6,1,2,3,0,0,1,0
a dog standing on a leash in the dirt,9,1,2,3,0,2,1,0
a bald eagle perched on top of an american flag,10,2,2,3,2,2,1,0
a cat laying on the ground next to a person's shoes,12,0,2,4,0,3,1,0
a toy army vehicle on a table,7,0,1,2,0,1,0,0
a lizard with a red and blue head,8,1,1,4,2,1,0,0
a dog standing on the grass,6,0,1,2,0,1,1,0
a statue of a man with a guitar and a bow,11,0,2,7,0,1,0,0
a man is holding a large elephant by the tusks,10,1,3,5,1,1,1,0
a black and white dog standing on the ground,9,0,1,3,2,1,1,0
a typewriter on a desk,5,1,1,2,0,1,0,0
a table with three bottles and a jug,8,1,1,4,0,1,0,0
a leopard is resting on a tree branch,8,2,2,3,0,1,1,0
a monkey eating a banana,5,0,1,2,0,0,1,0
a large stone pillar,4,1,0,1,1,0,0,0
a black railing on a stairway,6,2,1,2,1,1,0,0
a glass dish with a small hole in it,9,0,2,3,1,2,0,0
a person wearing a scuba suit and a mask,9,1,1,4,0,0,1,0
a black table with a camera on it,8,0,2,3,1,2,0,0
